day,user_lat,user_lon,name,address,location_lat,location_lon,distance_km,route_minutes,elevation,elevation_category,weather_score,final_score
2025-12-16,40.37092,-3.69664,Jardines Gregorio Ordóñez,CALLE PRINCIPE DE VERGARA 68,40.43346186779773,-3.6785954778654113,7.12,122.2,686.913330078125,moderado,24,4.66
2025-12-16,40.37092,-3.69664,Jardines San Francisco el Grande,AVENIDA GRAN VIA DE SAN FRANCISCO 25,40.41002249621306,-3.7144199127869557,4.6,77.7,639.4658203125,llano,24,11.63
2025-12-16,40.37092,-3.69664,Jardines de Andrés Saborit,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 32,40.44613326792272,-3.6989699295578347,8.37,136.9,695.6468505859375,moderado,24,1.94
2025-12-16,40.37092,-3.69664,Jardines de El Buen Retiro,PLAZA INDEPENDENCIA 7,40.41964087412762,-3.68793370943788,5.47,90.4,656.5708618164062,moderado,24,9.49
2025-12-16,40.37092,-3.69664,Jardines de Gloria Fuertes,CALLE MADRE DE DIOS 2,40.461517637696026,-3.6751179007317614,10.24,168.4,709.9261474609375,moderado,24,-3.08
2025-12-16,40.37092,-3.69664,Jardines de José Luis Jiménez Manso,CALLE CAMINO DE LOS VINATEROS 1,40.410944943237865,-3.660501733743551,5.4,95.5,621.7243041992188,llano,24,9.05
2025-12-16,40.37092,-3.69664,Jardines de Perón,AVENIDA GENERAL PERON 21,40.45257591499544,-3.6957817548357257,9.08,149.3,695.5465698242188,moderado,24,-0.01
2025-12-16,40.37092,-3.69664,Jardines de Sabatini,CALLE BAILEN 2,40.419911287101144,-3.713185308888602,5.62,92.0,631.7890625,llano,24,9.17
2025-12-16,40.37092,-3.69664,Jardines de San Fernando,AVENIDA ALBERTO ALCOCER 9,40.45978849094378,-3.687352342212426,9.91,159.7,714.526611328125,moderado,24,-1.89
2025-12-16,40.37092,-3.69664,Jardines de la Avenida de Brasil,AVENIDA BRASIL 31,40.458706953002235,-3.6934625569379387,9.77,156.3,709.5977172851562,moderado,24,-1.4
2025-12-16,40.37092,-3.69664,Jardines de la Basílica,CALLE BASILICA 15,40.44903638127448,-3.695615530710886,8.69,139.8,692.3925170898438,moderado,24,1.33
2025-12-16,40.37092,-3.69664,Jardines de la Cuesta de la Vega,CUESTA VEGA 1,40.41476219795408,-3.7154411142835397,5.13,85.0,620.06640625,llano,24,10.37
2025-12-16,40.37092,-3.69664,Jardines de la Plaza Conde del Valle de Suchil,CALLE RODRIGUEZ SAN PEDRO 3 B,40.43137597367309,-3.7064685006782208,6.77,113.2,674.1953735351562,moderado,24,5.91
2025-12-16,40.37092,-3.69664,Jardines de la Plaza de Chamberí,PLAZA CHAMBERI 1,40.43285328749453,-3.697594475998512,6.89,114.9,680.8329467773438,moderado,24,5.62
2025-12-16,40.37092,-3.69664,Jardines de la Plaza de España,PLAZA ESPAÑA 20,40.42372251184839,-3.7116577340508523,6.01,98.5,635.4655151367188,llano,24,8.14
2025-12-16,40.37092,-3.69664,Jardines de la Plaza de Olavide,PLAZA OLAVIDE 16,40.43247362678542,-3.7007855621824293,6.85,113.0,674.8831787109375,moderado,24,5.84
